Cuisine,Ingredient,Frequency
South Eestern United States,all-purpose flour,111
Asian,all-purpose flour,302
Indian,all-purpose flour,63
German,all-purpose flour,151
European,all-purpose flour,1886
Italian,all-purpose flour,414
Southern United States,all-purpose flour,685
Indonesian,all-purpose flour,5
Pacific North West,all-purpose flour,62
Polish,all-purpose flour,32
Chinese,all-purpose flour,65
British Columbian,all-purpose flour,69
Danish,all-purpose flour,33
Scandinavian,all-purpose flour,182
Swiss,all-purpose flour,34
Swedish,all-purpose flour,48
French,all-purpose flour,192
African,all-purpose flour,97
Australian,all-purpose flour,67
English,all-purpose flour,135
Quebec,all-purpose flour,13
Middle Eastern,all-purpose flour,75
Lebanese,all-purpose flour,9
Greek,all-purpose flour,113
South American,all-purpose flour,41
Russian,all-purpose flour,37
Japanese,all-purpose flour,20
Puertorican,all-purpose flour,1
Spanish,all-purpose flour,47
Irish,all-purpose flour,75
Thai,all-purpose flour,13
Polynesian,all-purpose flour,6
Iraqi,all-purpose flour,7
Pakistani,all-purpose flour,2
Scottish,all-purpose flour,98
South African,all-purpose flour,10
Colombian,all-purpose flour,1
Welsh,all-purpose flour,13
Czech,all-purpose flour,21
Filipino,all-purpose flour,8
Cuban,all-purpose flour,5
Belgian,all-purpose flour,11
Costarican,all-purpose flour,
Guatemalan,all-purpose flour,
Finnish,all-purpose flour,33
Moroccan,all-purpose flour,33
Iranian Persian,all-purpose flour,8
Turkish,all-purpose flour,13
Portuguese,all-purpose flour,30
Hungarian,all-purpose flour,34
Georgian,all-purpose flour,1
Brazilian,all-purpose flour,9
Nigerian,all-purpose flour,1
Ethiopian,all-purpose flour,3
Ecuadorean,all-purpose flour,
Peruvian,all-purpose flour,3
Egyptian,all-purpose flour,3
Argentine,all-purpose flour,3
Chilean,all-purpose flour,4
Malaysian,all-purpose flour,1
Nepalese,all-purpose flour,2
Vietnamese,all-purpose flour,1
Palestinian,all-purpose flour,2
Norwegian,all-purpose flour,21
Austrian,all-purpose flour,30
Libyan,all-purpose flour,1
Angolan,all-purpose flour,
Korean,all-purpose flour,6
Cambodian,all-purpose flour,1
Mongolian,all-purpose flour,
Northamerican,egg,3365
Mexican,egg,161
American,egg,2303
Canadian,egg,415
Hawaiian,egg,21
South Eestern United States,egg,129
Asian,egg,630
Indian,egg,70
German,egg,167
European,egg,1958
Italian,egg,465
Southern United States,egg,464
Indonesian,egg,13
Pacific North West,egg,65
Polish,egg,62
Chinese,egg,163
British Columbian,egg,59
Danish,egg,30
Scandinavian,egg,190
Swiss,egg,25
Swedish,egg,69
French,egg,116
African,egg,116
Australian,egg,236
English,egg,184
Quebec,egg,18
Middle Eastern,egg,84
Lebanese,egg,8
Greek,egg,145
South American,egg,59
Russian,egg,42
Japanese,egg,48
Puertorican,egg,1
Spanish,egg,33
Irish,egg,67
Thai,egg,49
Polynesian,egg,13
Iraqi,egg,9
Pakistani,egg,2
Scottish,egg,81
South African,egg,29
Colombian,egg,1
Welsh,egg,34
Czech,egg,30
Filipino,egg,16
Cuban,egg,10
Belgian,egg,12
Costarican,egg,3
Guatemalan,egg,2
Finnish,egg,30
Moroccan,egg,25
Iranian Persian,egg,8
Turkish,egg,20
Portuguese,egg,5
Hungarian,egg,26
Georgian,egg,2
Brazilian,egg,12
Nigerian,egg,
Ethiopian,egg,3
Ecuadorean,egg,1
Peruvian,egg,2
Egyptian,egg,11
Argentine,egg,5
Chilean,egg,4
Malaysian,egg,6
Nepalese,egg,1
Vietnamese,egg,13
Palestinian,egg,2
Norwegian,egg,26
Austrian,egg,22
Libyan,egg,
Angolan,egg,
Korean,egg,12
Cambodian,egg,1
Mongolian,egg,3
Northamerican,black pepper,3196
Mexican,black pepper,394
American,black pepper,2162
Canadian,black pepper,247
Hawaiian,black pepper,13
South Eestern United States,black pepper,272
Asian,black pepper,852
Indian,black pepper,196
German,black pepper,59
European,black pepper,1595
Italian,black pepper,593
Southern United States,black pepper,699
Indonesian,black pepper,6
Pacific North West,black pepper,43
Polish,black pepper,26
Chinese,black pepper,83
British Columbian,black pepper,30
Danish,black pepper,7
Scandinavian,black pepper,46
Swiss,black pepper,15
Swedish,black pepper,12
French,black pepper,149
African,black pepper,269
Australian,black pepper,92
English,black pepper,83
Quebec,black pepper,10
Middle Eastern,black pepper,216
Lebanese,black pepper,33
Greek,black pepper,207
South American,black pepper,77
Russian,black pepper,38
Japanese,black pepper,22
Puertorican,black pepper,7
Spanish,black pepper,57
Irish,black pepper,27
Thai,black pepper,51
Polynesian,black pepper,5
Iraqi,black pepper,7
Pakistani,black pepper,9
Scottish,black pepper,30
South African,black pepper,25
Colombian,black pepper,2
Welsh,black pepper,13
Czech,black pepper,9
Filipino,black pepper,10
Cuban,black pepper,34
Belgian,black pepper,7
Costarican,black pepper,2
Guatemalan,black pepper,
Finnish,black pepper,6
Moroccan,black pepper,99
Iranian Persian,black pepper,29
Turkish,black pepper,25
Portuguese,black pepper,17
Hungarian,black pepper,18
Georgian,black pepper,1
Brazilian,black pepper,8
Nigerian,black pepper,7
Ethiopian,black pepper,12
Ecuadorean,black pepper,2
Peruvian,black pepper,10
Egyptian,black pepper,16
Argentine,black pepper,12
Chilean,black pepper,7
Malaysian,black pepper,9
Nepalese,black pepper,
Vietnamese,black pepper,32
Palestinian,black pepper,15
Norwegian,black pepper,6
Austrian,black pepper,3
Libyan,black pepper,4
Angolan,black pepper,1
Korean,black pepper,44
Cambodian,black pepper,7
Mongolian,black pepper,
Northamerican,brown sugar,4008
Mexican,brown sugar,140
American,brown sugar,2661
Canadian,brown sugar,539
Hawaiian,brown sugar,79
South Eestern United States,brown sugar,154
Asian,brown sugar,951
Indian,brown sugar,63
German,brown sugar,108
European,brown sugar,845
Italian,brown sugar,100
Southern United States,brown sugar,541
Indonesian,brown sugar,24
Pacific North West,brown sugar,83
Polish,brown sugar,34
Chinese,brown sugar,157
British Columbian,brown sugar,52
Danish,brown sugar,13
Scandinavian,brown sugar,74
Swiss,brown sugar,10
Swedish,brown sugar,19
French,brown sugar,66
African,brown sugar,98
Australian,brown sugar,227
English,brown sugar,106
Quebec,brown sugar,30
Middle Eastern,brown sugar,32
Lebanese,brown sugar,2
Greek,brown sugar,26
South American,brown sugar,50
Russian,brown sugar,9
Japanese,brown sugar,38
Puertorican,brown sugar,3
Spanish,brown sugar,14
Irish,brown sugar,52
Thai,brown sugar,169
Polynesian,brown sugar,25
Iraqi,brown sugar,3
Pakistani,brown sugar,
Scottish,brown sugar,45
South African,brown sugar,25
Colombian,brown sugar,3
Welsh,brown sugar,6
Czech,brown sugar,5
Filipino,brown sugar,20
Cuban,brown sugar,12
Belgian,brown sugar,15
Costarican,brown sugar,1
Guatemalan,brown sugar,2
Finnish,brown sugar,11
Moroccan,brown sugar,19
Iranian Persian,brown sugar,4
Turkish,brown sugar,2
Portuguese,brown sugar,4
Hungarian,brown sugar,13
Georgian,brown sugar,
Brazilian,brown sugar,9
Nigerian,brown sugar,1
Ethiopian,brown sugar,1
Ecuadorean,brown sugar,1
Peruvian,brown sugar,2
Egyptian,brown sugar,3
Argentine,brown sugar,3
Chilean,brown sugar,1
Malaysian,brown sugar,8
Nepalese,brown sugar,1
Vietnamese,brown sugar,23
Palestinian,brown sugar,
Norwegian,brown sugar,11
Austrian,brown sugar,6
Libyan,brown sugar,
Angolan,brown sugar,
Korean,brown sugar,34
Cambodian,brown sugar,2
Mongolian,brown sugar,2
Northamerican,lemon juice,2630
Mexican,lemon juice,171
American,lemon juice,1735
Canadian,lemon juice,352
Hawaiian,lemon juice,35
South Eestern United States,lemon juice,97
Asian,lemon juice,937
Indian,lemon juice,275
German,lemon juice,76
European,lemon juice,1692
Italian,lemon juice,307
Southern United States,lemon juice,425
Indonesian,lemon juice,18
Pacific North West,lemon juice,83
Polish,lemon juice,28
Chinese,lemon juice,61
British Columbian,lemon juice,57
Danish,lemon juice,12
Scandinavian,lemon juice,85
Swiss,lemon juice,25
Swedish,lemon juice,20
French,lemon juice,152
African,lemon juice,341
Australian,lemon juice,265
English,lemon juice,101
Quebec,lemon juice,9
Middle Eastern,lemon juice,315
Lebanese,lemon juice,65
Greek,lemon juice,402
South American,lemon juice,55
Russian,lemon juice,37
Japanese,lemon juice,35
Puertorican,lemon juice,4
Spanish,lemon juice,60
Irish,lemon juice,24
Thai,lemon juice,39
Polynesian,lemon juice,16
Iraqi,lemon juice,9
Pakistani,lemon juice,16
Scottish,lemon juice,32
South African,lemon juice,35
Colombian,lemon juice,1
Welsh,lemon juice,5
